更新时间,#genre#
20250814-171319

频道名称,URL地址,#genre#
中视,https://stream1.freetv.fun/zhong-shi-9.ctv
亚洲旅游,https://stream1.freetv.fun/ya-zhou-lu-you-6.ctv
北京卫视,https://stream1.freetv.fun/bei-jing-wei-shi-14.ctv
华视新闻,https://stream1.freetv.fun/hua-shi-xin-wen-4.ctv
天津卫视,https://stream1.freetv.fun/tian-jin-wei-shi-17.ctv
寰宇新闻,https://stream1.freetv.fun/huan-yu-xin-wen-3.ctv
广东体育,https://stream1.freetv.fun/yan-dong-ti-yu-18.ctv
新疆卫视,https://stream1.freetv.fun/xin-jiang-wei-shi-29.ctv
民视第一,https://stream1.freetv.fun/min-shi-di-yi-6.ctv
海南卫视,https://stream1.freetv.fun/hai-nan-wei-shi-24.ctv
龙华日韩,https://stream1.freetv.fun/long-hua-ri-han-2.ctv
CCTV风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
CCTV兵器科技,http://n1.gzbody.com:85/rtp/239.253.43.9:5146
CCTV第一剧场,http://dassby.qqff.top:99/live/第一剧场/index.m3u8
CCTV央视台球,http://n1.gzbody.com:85/rtp/239.253.43.11:5146
CCTV风云足球,http://n1.gzbody.com:85/rtp/239.253.43.14:5146
CCTV世界地理,http://n1.gzbody.com:85/rtp/239.253.43.7:5146
CCTV风云音乐,http://dassby.qqff.top:99/live/风云音乐/index.m3u8
CCTV女性时尚,http://dassby.qqff.top:99/live/女性时尚/index.m3u8
CCTV怀旧剧场,http://dassby.qqff.top:99/live/怀旧剧场/index.m3u8
CCTV文化精品,http://n1.gzbody.com:85/rtp/239.253.43.13:5146
CCTV高尔夫网球,http://n1.gzbody.com:85/rtp/239.253.43.12:5146
农林卫视,http://8.138.7.223/【公众号：榴芒电视】/农林卫视.m3u8
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
大冶综合,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC1T.m3u8
大冶二套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC2T.m3u8
嘉兴新闻综合,https://m3u8-channel.lytv.tv/nmip-media/channellive/channel111841/playlist.m3u8
庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8?zzhed[浙江]洞头综合频道
茂名综合,http://zhuzhuxia.yyboxdns.com:8888/rtp/239.77.0.206:5146
优漫卡通,http://home.wwang.pw:35455/itv/1000000002000010063.m3u8?cdn=ystenlive
全纪实,http://139.196.151.191/rtp/239.45.3.135:5140
上视外语,http://139.196.151.191:2051/rtp/239.45.1.127:5140
广德生活,http://8.138.7.223/【公众号：榴芒电视】/ahwanyun.php?id=ahsh
海南新闻,http://nn.7x9d.cn/地方台8563/海南.php?id=xwpd
海南自贸,http://nn.7x9d.cn/地方台8563/海南.php?id=jjpd
海南文旅,http://nn.7x9d.cn/地方台8563/海南.php?id=wlpd
海南少儿,http://nn.7x9d.cn/地方台8563/海南.php?id=sepd
海南公共,http://nn.7x9d.cn/地方台8563/海南.php?id=ggpd
辽宁北方,http://39.152.170.32:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁影视剧,http://dassby.qqff.top:99/live/辽宁影视剧/index.m3u8
辽宁教育青少,http://dassby.qqff.top:99/live/辽宁教育青少/index.m3u8
辽宁生活,http://dassby.qqff.top:99/live/辽宁生活/index.m3u8
辽宁经济,http://dassby.qqff.top:99/live/辽宁经济/index.m3u8
辽宁都市,http://39.152.170.32:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁体育,http://dassby.qqff.top:99/live/辽宁体育/index.m3u8
辽宁公共,http://dassby.qqff.top:99/live/辽宁公共/index.m3u8
陕西二套,http://112.46.85.60:8009/hls/19/index.m3u8
陕西五套,http://112.46.85.60:8009/hls/22/index.m3u8
山东国际,http://139.129.231.228/rtp/239.21.1.61:5002
山东居家购物,http://139.129.231.228/rtp/239.21.1.112:5002
青州综合,http://m3u8-channel.lytv.tv/nmip-media/channellive/channel113571/playlist.m3u8
东营综合,https://m3u8-channel.lytv.tv/nmip-media/channellive/channel113571/playlist.m3u8
济南都市,http://139.129.231.228/rtp/239.21.1.63:5002
济南生活,http://139.129.231.228/rtp/239.21.1.64:5002
济南影视,http://139.129.231.228/rtp/239.21.1.65:5002
济南娱乐,http://139.129.231.228/rtp/239.21.1.66:5002
济南少儿,http://139.129.231.228/rtp/239.21.1.68:5002
济南商务,http://139.129.231.228:50060/rtp/239.21.1.67:5002
济南鲁中,http://139.129.231.228:50060/rtp/239.21.1.149:5002
济宁综合,http://139.129.231.228/rtp/239.21.2.19:5002
日照科教,http://139.129.231.228/rtp/239.21.1.80:5002
滨州公共,http://139.129.231.228/rtp/239.21.1.119:5002
宁化电视一套,http://fjnhdb.chinashadt.com:2036/live/stream:nh1.stream/playlist.m3u8
三明新闻综合,http://fjnhdb.chinashadt.com:2036/live/stream:nh2.stream/playlist.m3u8?zfud
宝兴综合,rtmp://tv.yunxya.com:1937/channellive/baoxing
