更新时间,#genre#
20260831-10-45-14,url


RespoTime,whitelist,#genre#
496.09ms,CCTV1,http://1.192.242.239:8188/rtp/239.16.20.1:10010
462.04ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.1:8008
292.23ms,CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
461.99ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.33:8002
461.25ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.81:8176
501.93ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.126:8002
465.90ms,CCTV1,http://114.226.212.189:8787/rtp/239.49.8.129:6000
499.18ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.194:4120
480.46ms,CCTV1,http://39.77.22.26:4002/rtp/239.253.254.77:8000
501.91ms,CCTV1,http://39.77.26.75:4002/rtp/239.253.254.89:8000
497.79ms,CCTV1,http://124.112.241.196:4022/rtp/238.1.78.166:7200
485.93ms,CCTV1,http://219.156.94.32:4022/rtp/225.1.4.73:1102
614.84ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.33:8002
463.51ms,CCTV1,http://39.77.26.75:4002/rtp/239.253.254.77:8000
513.90ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.81:8176
525.68ms,CCTV1,http://60.4.28.19:8077/rtp/239.253.92.83:8012
598.92ms,CCTV1,http://114.254.38.234:8888/rtp/239.3.1.129:8008
500.95ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.53:8060
493.53ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.200.2:8080
493.24ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.200.14:8852
601.42ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.210:8068
499.26ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.201.45:8800
480.67ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.1:8008
498.57ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.200.117:8712
600.31ms,CCTV1,http://221.220.128.203:8012/rtp/239.3.1.129:8008
490.98ms,CCTV1,http://39.77.22.26:4002/rtp/239.253.254.89:8000
464.29ms,CCTV1,http://124.112.189.1:4022/rtp/238.1.78.166:7200
457.54ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.53:8060
324.40ms,CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
366.30ms,CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
162.79ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
507.45ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
515.45ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
505.33ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
502.69ms,CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
521.72ms,CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
513.62ms,CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
553.77ms,CCTV1,http://111.59.24.227:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
520.13ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
564.87ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.194:4120
428.48ms,CCTV1,http://112.30.73.119:229/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
139.00ms,CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
527.05ms,CCTV1,http://182.140.125.47:808/hls/1/index.m3u8
549.71ms,CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8
574.40ms,CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
458.59ms,CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
432.28ms,CCTV1,http://120.198.95.220:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
605.04ms,CCTV1,http://120.40.39.246:352/newlive/live/hls/1/live.m3u8
1506.54ms,CCTV1,http://114.226.212.189:8787/rtp/239.49.8.19:9614
1196.04ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.126:8002
1422.89ms,CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8
1432.20ms,CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
1719.99ms,CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8
687.46ms,CCTV1,http://47.120.5.28:1234/608807420
725.93ms,CCTV1,http://223.83.177.142:1234/608807420
2225.34ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.210:8068
1804.64ms,CCTV1,http://www.ikerobot.com:1234/608807420
1818.77ms,CCTV1,http://124.221.146.169:7001/608807420
911.32ms,CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
