茂哥直播,#genre#
猫咪小白,https://alimov2.a.yximgs.com/upic/2024/06/16/18/BMjAyNDA2MTYxODE0MDhfNTYzNzExMzY1XzEzNTE1NjUwMzQ5Nl8yXzM=_b_B52404d257b877c8f102333da69752072.mp4?tag=1-1748318072-sp-0-psamkjmwnz-d4a5f283138292a9&clientCacheKey=3x2m8z8ce6usd49_b.mp4&tt=b&di=9f4ba2b0&bp=12341
党员教育,http://iiptv.xyz/wspd.php?id=dangyuanjiaoyu$远程
党员教育,https://12371wbndali.v.myalicdn.com/12371wbnd/dangyuanwang_2hd.m3u8
央视频道,#genre#
CCTV-1综合,http://110.180.148.5:8933/udp/239.1.1.7:8007
CCTV-1综合,http://89922050.xyz:61201/udp/239.1.1.7:8007
CCTV-1综合,http://www.lanyue168.cn:61201/udp/239.1.1.7:8007
CCTV-1综合,http://dxf.us.kg:61201/udp/239.1.1.7:8007
CCTV-1综合,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1综合,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://fxgm.fxjf.work:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8
CCTV-1综合,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-2财经,http://89922050.xyz:61201/udp/239.1.1.8:8008
CCTV-2财经,http://110.180.148.5:8933/udp/239.1.1.8:8008
CCTV-2财经,http://123.174.106.183:8888/udp/239.1.1.8:8008
CCTV-2财经,http://dxf.us.kg:61201/udp/239.1.1.8:8008
CCTV-2财经,http://lanyue168.cn:61201/udp/239.1.1.8:8008
CCTV-2财经,http://112.123.206.32:808/hls/2/index.m3u8
CCTV-2财经,http://111.43.126.240:9003/hls/14/index.m3u8
CCTV-2财经,http://111.227.196.164:9901/tsfile/live/faacts/0002_1.m3u8
CCTV-2财经,http://221.2.148.205:8154/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://fxgm.fxjf.work:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://111.9.163.109:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://61.156.228.12:8154/tsfile/live/0002_1.m3u8
CCTV-3综艺,http://89922050.xyz:61201/udp/239.1.1.9:8009
CCTV-3综艺,http://www.lanyue168.cn:61201/udp/239.1.1.9:8009
CCTV-3综艺,http://110.180.148.5:8933/udp/239.1.1.9:8009
CCTV-3综艺,http://dxf.us.kg:61201/udp/239.1.1.9:8009
CCTV-3综艺,http://fxgm.fxjf.work:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://111.43.126.240:9003/hls/15/index.m3u8
CCTV-3综艺,http://qwt.zhibotv.top:2016/%E5%85%A8%E7%BD%91%E9%80%9A.php?id=CCTV3
CCTV-3综艺,http://59.39.89.130:60901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://218.104.239.114:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://111.9.163.109:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://ak6668768.zicp.io:8802/live1003.m3u8
CCTV-3综艺,http://61.156.228.12:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际,http://www.lanyue168.cn:61201/udp/239.1.1.10:8010
CCTV-4中文国际,http://110.180.148.5:8933/udp/239.1.1.10:8010
CCTV-4中文国际,http://89922050.xyz:61201/udp/239.1.1.10:8010
CCTV-4中文国际,http://dxf.us.kg:61201/udp/239.1.1.10:8010
CCTV-4中文国际,http://111.43.126.240:9003/hls/16/index.m3u8
CCTV-4中文国际,https://stream1.freetv.fun/54376a4d22fadd3ac7fb8fcc0b92321f9a5736c597ad6f68cacb0a2e835cf92b.m3u8
CCTV-4中文国际,http://111.9.163.109:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际,http://fxgm.fxjf.work:19901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际,http://61.156.228.12:8154/tsfile/live/0004_1.m3u8
CCTV-4中文国际,http://58.243.224.242:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4中文国际,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际,http://124.128.73.58:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://110.180.148.5:8933/udp/239.1.1.11:8011
CCTV-5体育,http://89922050.xyz:61201/udp/239.1.1.11:8011
CCTV-5体育,http://www.lanyue168.cn:61201/udp/239.1.1.11:8011
CCTV-5体育,http://qwt.zhibotv.top:2016/%E5%85%A8%E7%BD%91%E9%80%9A.php?id=CCTV5
CCTV-5体育,http://111.43.126.240:9003/hls/17/index.m3u8
CCTV-5体育,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?BR=td
CCTV-5体育,http://58.17.48.228:808/hls/5/index.m3u8
CCTV-5体育,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100
CCTV-5体育,https://ldcctvwbcdks.v.kcdnvip.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100
CCTV-5体育,http://218.89.240.144:59901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://124.128.73.58:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://fxgm.fxjf.work:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://61.156.228.12:8154/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://42.225.117.174:11199/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://111.9.163.109:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5⁺体育赛事,http://110.180.148.5:8933/udp/239.1.1.12:8012
CCTV-5⁺体育赛事,http://61.156.228.12:8154/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5⁺体育赛事,http://111.14.181.15:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
