🎬主频道,#genre#
📺CCTV,#genre#
CCTV1,http://223.167.245.20:8001/rtp/239.45.3.145:5140
CCTV10,http://223.167.245.20:8001/rtp/239.45.3.8:5140
CCTV11,http://223.167.245.20:8001/rtp/239.45.1.196:5140
CCTV12,http://223.167.245.20:8001/rtp/239.45.3.10:5140
CCTV13,http://223.167.245.20:8001/rtp/239.45.1.198:5140
CCTV14,http://223.167.245.20:8001/rtp/239.45.3.23:5140
CCTV15,http://223.167.245.20:8001/rtp/239.45.1.200:5140
CCTV16,http://114.254.38.200:18888/rtp/239.3.1.184:8001
CCTV17,http://223.167.245.20:8001/rtp/239.45.3.52:5140
CCTV2,http://223.167.245.20:8001/rtp/239.45.3.208:5140
CCTV3,http://223.167.245.20:8001/rtp/239.45.1.68:5140
CCTV4,http://223.167.245.20:8001/rtp/239.45.0.2:5140
CCTV5,http://223.167.245.20:8001/rtp/239.45.1.69:5140
CCTV5+,http://114.107.46.215:8188/rtp/238.1.78.237:7768
CCTV6,http://223.167.245.20:8001/rtp/239.45.1.70:5140
CCTV7,http://223.167.245.20:8001/rtp/239.45.3.56:5140
CCTV8,http://223.167.245.20:8001/rtp/239.45.1.71:5140
CCTV9,http://223.167.245.20:8001/rtp/239.45.3.4:5140
CGTN,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctvnews/1000/index.m3u8?msisdn=202511201200366daf8f366ec8468ba49e505104858332&mdspid=&spid=699004&netType=0&sid=2202196407&pid=2028597139&timestamp=20251120120036&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609017205&ParentNodeID=-99&assertID=2202196407&client_ip=106.13.250.90&SecurityKey=20251120120036&promotionId=&mvid=2202196407&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b971814647bcf0c3cf037516c374209d&ddCalcu=db99e0722194807134c664175b7c3f00fcc3
CGTN俄语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/eyu/1000/index.m3u8?msisdn=20251120120035a08204f545fe4fabb250f05d1fc99e47&mdspid=&spid=699004&netType=0&sid=2200179332&pid=2028597139&timestamp=20251120120035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006446&ParentNodeID=-99&assertID=2200179332&client_ip=106.13.250.90&SecurityKey=20251120120035&promotionId=&mvid=2200179332&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=31519910873434bd13a44e86342c3251&ddCalcu=1351e252319c902941306887e34443a43b1d
CGTN法语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/fayu/1000/index.m3u8?msisdn=20251120120035539c09ca2be641b58df4f323cf6553a7&mdspid=&spid=699004&netType=0&sid=2200179324&pid=2028597139&timestamp=20251120120035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006476&ParentNodeID=-99&assertID=2200179324&client_ip=106.13.250.90&SecurityKey=20251120120035&promotionId=&mvid=2200179324&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=c2e759f45ce4f76033840ce929a90a21&ddCalcu=1c22eae2079950a99f2495ecce044f873630
CGTN西班牙语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/xibanya/1000/index.m3u8?msisdn=202511201200352f418ffc8a7544ad9112d9b1e9d929d1&mdspid=&spid=699004&netType=0&sid=2200179337&pid=2028597139&timestamp=20251120120035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006450&ParentNodeID=-99&assertID=2200179337&client_ip=106.13.250.90&SecurityKey=20251120120035&promotionId=&mvid=2200179337&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=6e7a092115a194963a4f99c1537a1c36&ddCalcu=663eec721a9a0079325111c59a91f944a936
