其它频道,#genre#
体育休闲,http://gslbmgsplive.miguvideo.com/wd_r2/jstv/jstiyu/600/index.m3u8?msisdn=20251124180036dd2c1337d9ab4e45859571a195414b2c&mdspid=&spid=699067&netType=0&sid=5500260554&pid=2028597139&timestamp=20251124180036&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=626064707&ParentNodeID=-99&assertID=5500260554&client_ip=106.13.250.83&SecurityKey=20251124180036&promotionId=&mvid=5100186459&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b70e8d51210e7f5eb9612538888ccd77&ddCalcu=7b77ed02ce6c808d85818231502e176f95be


2025-11-24 18:45:55,https://kakaxi-1.asia/LOGO/Disclaimer.mp4
华数碟战剧场,http://220.176.218.56:9000/rtp/239.252.220.145:5140


popc,https://stream1.freetv.fun/popc-1.ctv
zee bangla,https://stream1.freetv.fun/zee-bangla-3.m3u8
extrema tv kids,https://stream1.freetv.fun/extrema-tv-kids-1.m3u8
v6 news,https://stream1.freetv.fun/v6-news-1.m3u8
food network(tw) *s,https://stream1.freetv.fun/food-network--s-1.m3u8
amazing discoveries tv (720p),https://stream1.freetv.fun/amazing-discoveries-tv-4.m3u8


温馨提醒:设置超时30秒最佳,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
🔥禁止,http://vd3.bdstatic.com/mda-jf5fre7jvd0q3rfu/mda-jf5fre7jvd0q3rfu.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
xiaoranmuze,https://vdse.bdstatic.com/h265w2/wzab77d46f6a582cbdc06593882853534d.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=19&logid=10390092499894835995&vt=-1&svt=-1&cr_max=2&s_score=-1.000000&pt=0&av=17.8&vid=15107691385944962233&mvt=-1&did=b9e4f3d31e216db4f308eb63eb2e3475&cr=2&h265_s=1&sl=122&sle=1&split=347403
🔥贩卖,https://vdse.bdstatic.com//bf4bb1d82b2eb17681c49e745dc2da21.mp4
20251124 17:36:54,https://vdse.bdstatic.com//1d83dfc2411243e5b9f44462e1e55ab3.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2019-12-14T02%3A12%3A40Z%2F-1%2Fhost%2F4739737cd8b21cbdb307a5d008abe88a61afce23616c55f2a8fae768fc2b6764

# 其它频道总计: 14 个频道
