更新时间,#genre#
20251124-10-35-10,url


blacklist,#genre#
CCTV2,http://61.159.134.162:4022/rtp/238.255.2.11:5999
CCTV4,http://61.159.134.162:4022/rtp/238.255.2.92:5999
CCTV1,http://121.231.65.86:8095/rtp/239.49.8.129:6000
CCTV4,http://61.159.134.162:4022/rtp/238.255.2.214:5999
CCTV5,http://61.159.134.162:4022/rtp/238.255.2.134:5999
CCTV6,http://61.159.134.162:4022/rtp/238.255.2.135:5999
CCTV8,http://61.159.134.162:4022/rtp/238.255.2.136:5999
CCTV10,http://61.159.134.162:4022/rtp/238.255.2.13:5999
CCTV1,http://60.172.82.115:8686/rtp/238.1.78.166:7200
CCTV2,http://60.172.82.115:8686/rtp/238.1.78.235:7752
CCTV12,http://61.159.134.162:4022/rtp/238.255.2.15:5999
CCTV3,http://60.172.82.115:8686/rtp/238.1.78.170:7232
CCTV14,http://61.159.134.162:4022/rtp/238.255.2.17:5999
CCTV4,http://60.172.82.115:8686/rtp/238.1.78.236:7760
CCTV15,http://61.159.134.162:4022/rtp/238.255.2.18:5999
CCTV5,http://60.172.82.115:8686/rtp/238.1.78.171:7240
CCTV5+,http://60.172.82.115:8686/rtp/238.1.78.237:7768
CCTV6,http://60.172.82.115:8686/rtp/238.1.78.172:7248
CCTV7,http://60.172.82.115:8686/rtp/238.1.78.239:7784
CCTV8,http://60.172.82.115:8686/rtp/238.1.78.173:7256
CCTV9,http://60.172.82.115:8686/rtp/238.1.78.240:7792
CCTV10,http://60.172.82.115:8686/rtp/238.1.78.241:7800
CCTV11,http://60.172.82.115:8686/rtp/238.1.78.206:7502
CCTV12,http://60.172.82.115:8686/rtp/238.1.78.242:7808
CCTV13,http://60.172.82.115:8686/rtp/238.1.79.35:4392
CCTV14,http://60.172.82.115:8686/rtp/238.1.78.243:7816
CCTV15,http://60.172.82.115:8686/rtp/238.1.78.222:7648
CCTV17,http://60.172.82.115:8686/rtp/238.1.78.178:7296
CCTV4K,http://60.172.82.115:8686/rtp/238.1.78.137:6968
湖南卫视,https://stream1.freetv.fun/hu-nan-wei-shi-1.ctv
浙江卫视,https://stream1.freetv.fun/zhe-jiang-wei-shi-52.ctv
浙江卫视,http://60.172.82.115:8686/rtp/238.1.78.164:7184
浙江卫视,https://stream1.freetv.fun/zhe-jiang-wei-shi-113.ctv
浙江卫视,https://stream1.freetv.fun/zhe-jiang-wei-shi-3.ctv
浙江卫视,https://stream1.freetv.fun/zhe-jiang-wei-shi-102.ctv
湖南卫视,http://60.172.82.115:8686/rtp/238.1.78.160:7152
浙江卫视,https://stream1.freetv.fun/zhe-jiang-wei-shi-81.ctv
浙江卫视,https://stream1.freetv.fun/zhe-jiang-wei-shi-59.ctv
浙江卫视,https://stream1.freetv.fun/zhe-jiang-wei-shi-79.ctv
湖南卫视,https://stream1.freetv.fun/hu-nan-wei-shi-70.ctv
湖南卫视,https://stream1.freetv.fun/hu-nan-wei-shi-92.ctv
深圳卫视,https://stream1.freetv.fun/shen-zhen-wei-shi-102.ctv
湖南卫视,https://stream1.freetv.fun/hu-nan-wei-shi-90.ctv
湖南卫视,https://stream1.freetv.fun/hu-nan-wei-shi-48.ctv
江苏卫视,http://60.172.82.115:8686/rtp/238.1.78.165:7192
湖南卫视,https://stream1.freetv.fun/hu-nan-wei-shi-31.ctv
江苏卫视,https://stream1.freetv.fun/jiang-su-wei-shi-101.ctv
江苏卫视,https://stream1.freetv.fun/jiang-su-wei-shi-26.ctv
江苏卫视,https://stream1.freetv.fun/jiang-su-wei-shi-100.ctv
深圳卫视,http://60.172.82.115:8686/rtp/238.1.78.156:7120
深圳卫视,https://stream1.freetv.fun/shen-zhen-wei-shi-97.ctv
深圳卫视,https://stream1.freetv.fun/shen-zhen-wei-shi-94.ctv
湖北卫视,http://60.172.82.115:8686/rtp/238.1.78.168:7216
安徽卫视,http://60.172.82.115:8686/rtp/238.1.79.27:4328
安徽卫视,http://60.172.82.115:8686/rtp/238.1.78.150:7072
兵团卫视,http://36.46.98.173:8025/rtp/239.112.205.198:5140
东方卫视,http://60.172.82.115:8686/rtp/238.1.78.163:7176
安徽卫视,https://stream1.freetv.fun/an-hui-wei-shi-47.ctv
安徽卫视,https://stream1.freetv.fun/an-hui-wei-shi-5.ctv
兵团卫视,http://121.29.141.197:4022/rtp/239.253.93.176:6344
兵团卫视,http://111.162.204.74:8686/rtp/225.1.1.57:5002
东方卫视,https://stream1.freetv.fun/dong-fang-wei-shi-45.ctv
东方卫视,https://stream1.freetv.fun/dong-fang-wei-shi-19.ctv
东方卫视,https://stream1.freetv.fun/dong-fang-wei-shi-8.ctv
东方卫视,https://stream1.freetv.fun/dong-fang-wei-shi-30.ctv
东南卫视,http://60.172.82.115:8686/rtp/238.1.78.22:6104
东南卫视,https://stream1.freetv.fun/dong-nan-wei-shi-75.ctv
云南卫视,http://60.172.82.115:8686/rtp/238.1.78.89:6584
厦门卫视,https://stream1.freetv.fun/sha-men-wei-shi-7.ctv
北京卫视,https://stream1.freetv.fun/bei-jing-wei-shi-72.ctv
吉林卫视,https://stream1.freetv.fun/ji-lin-wei-shi-61.ctv
云南卫视,https://stream1.freetv.fun/yun-nan-wei-shi-52.ctv
云南卫视,https://stream1.freetv.fun/yun-nan-wei-shi-20.ctv
四川卫视,https://stream1.freetv.fun/si-chuan-wei-shi-10.ctv
兵团卫视,http://60.172.82.115:8686/rtp/238.1.78.104:6704
四川卫视,https://stream1.freetv.fun/si-chuan-wei-shi-71.ctv
四川卫视,https://stream1.freetv.fun/si-chuan-wei-shi-46.ctv
四川卫视,https://stream1.freetv.fun/si-chuan-wei-shi-79.ctv
凤凰卫视,https://stream1.freetv.fun/feng-huang-wei-shi-1.ctv
安徽卫视,https://stream1.freetv.fun/an-hui-wei-shi-58.ctv
东方卫视,https://stream1.freetv.fun/dong-fang-wei-shi-90.ctv
北京卫视,http://60.172.82.115:8686/rtp/238.1.78.162:7168
天津卫视,https://stream1.freetv.fun/tian-jin-wei-shi-31.ctv
宁夏卫视,https://stream1.freetv.fun/zhu-xia-wei-shi-86.ctv
北京卫视,https://stream1.freetv.fun/bei-jing-wei-shi-77.ctv
北京卫视,https://stream1.freetv.fun/bei-jing-wei-shi-42.ctv
厦门卫视,https://stream1.freetv.fun/sha-men-wei-shi-12.ctv
北京卫视,https://stream1.freetv.fun/bei-jing-wei-shi-26.ctv
厦门卫视,https://stream1.freetv.fun/sha-men-wei-shi-17.ctv
厦门卫视,https://stream1.freetv.fun/sha-men-wei-shi-10.ctv
厦门卫视,https://stream1.freetv.fun/sha-men-wei-shi-40.ctv
吉林卫视,http://60.172.82.115:8686/rtp/238.1.79.48:4496
山西卫视,https://stream1.freetv.fun/shan-xi-wei-shi-69.ctv
宁夏卫视,http://111.162.204.74:8686/rtp/225.1.1.56:5002
广东卫视,https://stream1.freetv.fun/yan-dong-wei-shi-73.ctv
吉林卫视,https://stream1.freetv.fun/ji-lin-wei-shi-32.ctv
四川卫视,http://60.172.82.115:8686/rtp/238.1.78.30:6168
新疆卫视,http://61.159.134.162:4022/rtp/238.255.2.163:5999
天津卫视,http://60.172.82.115:8686/rtp/238.1.78.20:6088
四川卫视,https://stream1.freetv.fun/si-chuan-wei-shi-85.ctv
广西卫视,https://stream1.freetv.fun/yan-xi-wei-shi-65.ctv
宁夏卫视,http://60.172.82.115:8686/rtp/238.1.78.109:6744
天津卫视,https://stream1.freetv.fun/tian-jin-wei-shi-90.ctv
江西卫视,https://stream1.freetv.fun/jiang-xi-wei-shi-93.ctv
新疆卫视,http://111.162.204.74:8686/rtp/225.1.1.35:5002
江西卫视,https://stream1.freetv.fun/jiang-xi-wei-shi-53.ctv
山西卫视,http://60.172.82.115:8686/rtp/238.1.78.95:6632
河南卫视,https://stream1.freetv.fun/he-nan-wei-shi-9.ctv
河南卫视,https://stream1.freetv.fun/he-nan-wei-shi-52.ctv
河南卫视,https://stream1.freetv.fun/he-nan-wei-shi-48.ctv
广东卫视,http://60.172.82.115:8686/rtp/238.1.78.161:7160
山西卫视,https://stream1.freetv.fun/shan-xi-wei-shi-96.ctv
宁夏卫视,https://stream1.freetv.fun/zhu-xia-wei-shi-38.ctv
河北卫视,https://stream1.freetv.fun/he-bei-wei-shi-47.ctv
广西卫视,http://60.172.82.115:8686/rtp/238.1.78.70:6432
海南卫视,https://stream1.freetv.fun/hai-nan-wei-shi-72.ctv
新疆卫视,http://60.172.82.115:8686/rtp/238.1.78.110:6752
广西卫视,https://stream1.freetv.fun/yan-xi-wei-shi-29.ctv
江西卫视,http://60.172.82.115:8686/rtp/238.1.78.26:6136
贵州卫视,https://stream1.freetv.fun/gui-zhou-wei-shi-23.ctv
广西卫视,https://stream1.freetv.fun/yan-xi-wei-shi-83.ctv
河南卫视,http://60.172.82.115:8686/rtp/238.1.79.65:4632
西藏卫视,http://111.162.204.74:8686/rtp/225.1.1.51:5002
河北卫视,http://60.172.82.115:8686/rtp/238.1.78.245:7832
河南卫视,https://stream1.freetv.fun/he-nan-wei-shi-20.ctv
海南卫视,http://60.172.82.115:8686/rtp/238.1.79.49:4504
甘肃卫视,http://60.172.82.115:8686/rtp/238.1.79.36:4400
河北卫视,https://stream1.freetv.fun/he-bei-wei-shi-30.ctv
西藏卫视,http://60.172.82.115:8686/rtp/238.1.78.101:6680
甘肃卫视,https://stream1.freetv.fun/gan-su-wei-shi-10.ctv
贵州卫视,http://60.172.82.115:8686/rtp/238.1.78.244:7824
西藏卫视,https://stream1.freetv.fun/xi-cang-wei-shi-3.ctv
辽宁卫视,http://60.172.82.115:8686/rtp/238.1.78.21:6096
贵州卫视,https://stream1.freetv.fun/gui-zhou-wei-shi-12.ctv
重庆卫视,http://60.172.82.115:8686/rtp/238.1.78.31:6176
辽宁卫视,https://stream1.freetv.fun/liao-zhu-wei-shi-71.ctv
山东教育卫视,http://111.162.204.74:8686/rtp/225.1.2.118:5002
陕西卫视,http://60.172.82.115:8686/rtp/238.1.78.88:6576
内蒙古卫视,http://111.162.204.74:8686/rtp/225.1.1.32:5002
青海卫视,http://60.172.82.115:8686/rtp/238.1.78.102:6688
陕西卫视,https://stream1.freetv.fun/shan-xi-wei-shi-12.ctv
青海卫视,https://stream1.freetv.fun/qing-hai-wei-shi-157.ctv
三沙卫视,http://60.172.82.115:8686/rtp/238.1.78.27:6144
人间卫视,https://stream1.freetv.fun/ren-jian-wei-shi-2.ctv
人间卫视,https://stream1.freetv.fun/ren-jian-wei-shi-9.ctv
人间卫视,https://stream1.freetv.fun/ren-jian-wei-shi-12.ctv
山东卫视,http://60.172.82.115:8686/rtp/238.1.78.169:7224
哈哈炫动,http://111.162.204.74:8686/rtp/225.1.1.62:5002
山东卫视,https://stream1.freetv.fun/shan-dong-wei-shi-32.ctv
山东卫视,https://stream1.freetv.fun/shan-dong-wei-shi-15.ctv
内蒙古卫视,http://60.172.82.115:8686/rtp/238.1.78.103:6696
黑龙江卫视,http://60.172.82.115:8686/rtp/238.1.78.159:7144
优漫卡通,https://stream1.freetv.fun/you-man-qia-tong-29.ctv
动漫秀场,http://60.172.82.115:8686/rtp/238.1.78.154:7104
黑龙江卫视,https://stream1.freetv.fun/hei-long-jiang-wei-shi-77.ctv
都市剧场,http://60.172.82.115:8686/rtp/238.1.78.74:6464
生活时尚,http://60.172.82.115:8686/rtp/238.1.78.155:7112
广东新闻,https://stream1.freetv.fun/yan-dong-xin-wen-24.ctv
广东体育,https://stream1.freetv.fun/yan-dong-ti-yu-36.ctv
广东民生,https://stream1.freetv.fun/yan-dong-min-sheng-31.ctv
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-4.ctv
阳新综合,http://www.furymax.top:85/rtp/239.69.1.34:9844
广州新闻,https://stream1.freetv.fun/yan-zhou-xin-wen-27.ctv
大冶二套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC2T.m3u8
大冶综合,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC1T.m3u8
广州综合,https://stream1.freetv.fun/yan-zhou-zong-he-18.ctv
中国教育2,http://61.159.134.162:4022/rtp/238.255.2.221:5999
中国教育4,http://61.159.134.162:4022/rtp/238.255.2.222:5999
金鹰纪实,http://60.172.82.115:8686/rtp/238.1.79.9:4184
阳新综合,http://www.hiliu.myds.me:8088/rtp/239.69.1.34:9844
西宁新闻综合,rtmp://liveout.xntv.tv/a65jur/96iln2
中国交通,http://111.162.204.74:8686/rtp/225.1.2.57:5002
央视文化精品,http://60.172.82.115:8686/rtp/238.1.79.54:4568
中国教育1,http://60.172.82.115:8686/rtp/238.1.78.158:7136
茶,http://60.172.82.115:8686/rtp/238.1.79.30:4352
乐游,http://60.172.82.115:8686/rtp/238.1.78.151:7080
金色学堂,http://60.172.82.115:8686/rtp/238.1.78.76:6480
中天娱乐,https://stream1.freetv.fun/zhong-tian-yu-le-6.ctv
中视,https://stream1.freetv.fun/zhong-shi-5.ctv
中天娱乐,https://stream1.freetv.fun/zhong-tian-yu-le-3.ctv
中视,https://stream1.freetv.fun/zhong-shi-10.ctv
中视,https://stream1.freetv.fun/zhong-shi-2.ctv
中视,https://stream1.freetv.fun/zhong-shi-7.ctv
公视,https://stream1.freetv.fun/gong-shi-1.ctv
博斯运动一,https://stream1.freetv.fun/bo-si-yun-dong-yi-2.ctv
公视,https://stream1.freetv.fun/gong-shi-3.ctv
公视,https://stream1.freetv.fun/gong-shi-2.ctv
博斯运动一,https://stream1.freetv.fun/bo-si-yun-dong-yi-1.ctv
博斯运动一,https://stream1.freetv.fun/bo-si-yun-dong-yi-5.ctv
博斯运动一,https://stream1.freetv.fun/bo-si-yun-dong-yi-3.ctv
台视,https://stream1.freetv.fun/tai-shi-1.ctv
台视,https://stream1.freetv.fun/tai-shi-8.ctv
台视,https://stream1.freetv.fun/tai-shi-4.ctv
台视,https://stream1.freetv.fun/tai-shi-7.ctv
壹新闻,https://stream1.freetv.fun/yi-xin-wen-2.ctv
壹新闻,https://stream1.freetv.fun/yi-xin-wen-4.ctv
壹新闻,https://stream1.freetv.fun/yi-xin-wen-3.ctv
壹新闻,https://stream1.freetv.fun/yi-xin-wen-5.ctv
好莱坞电影,https://stream1.freetv.fun/hao-lai-wu-dian-ying-5.ctv
好莱坞电影,https://stream1.freetv.fun/hao-lai-wu-dian-ying-4.ctv
好消息,https://stream1.freetv.fun/hao-xiao-xi-1.ctv
好消息,https://stream1.freetv.fun/hao-xiao-xi-3.ctv
好莱坞电影,https://stream1.freetv.fun/hao-lai-wu-dian-ying-2.ctv
好消息,https://stream1.freetv.fun/hao-xiao-xi-5.ctv
年代新闻,https://stream1.freetv.fun/nian-dai-xin-wen-4.ctv
东森幼幼,https://stream1.freetv.fun/dong-sen-you-you-5.ctv
年代新闻,https://stream1.freetv.fun/nian-dai-xin-wen-5.ctv
年代新闻,https://stream1.freetv.fun/nian-dai-xin-wen-2.ctv
东森幼幼,https://stream1.freetv.fun/dong-sen-you-you-4.ctv
纬来戏剧,https://stream1.freetv.fun/wei-lai-xi-ju-2.ctv
纬来戏剧,https://stream1.freetv.fun/wei-lai-xi-ju-4.ctv
纬来日本,https://stream1.freetv.fun/wei-lai-ri-ben-8.ctv
纬来日本,https://stream1.freetv.fun/wei-lai-ri-ben-7.ctv
#这个档案是由https://freetv.fun自动生成的,僅僅只是用於測試epg的準確性.
纬来戏剧,https://stream1.freetv.fun/wei-lai-xi-ju-1.ctv
