更新时间,#genre#
20251124-10-35-10,url


RespoTime,whitelist,#genre#
383.93ms,CCTV1,http://114.254.33.252:18888/rtp/239.3.1.129:8008
432.94ms,CCTV1,http://1.58.246.115:4000/rtp/229.58.190.151:5000
442.57ms,CCTV1,http://1.58.246.115:4000/rtp/229.58.190.72:5000
453.84ms,CCTV1,http://116.235.57.69:4022/rtp/239.45.3.145:5140
459.09ms,CCTV1,http://121.231.65.86:8095/rtp/239.49.8.19:9614
469.13ms,CCTV1,http://114.100.195.157:4022/rtp/238.1.78.166:7200
463.02ms,CCTV1,http://1.58.246.115:4001/rtp/229.58.190.72:5000
464.23ms,CCTV1,http://223.167.230.235:4022/rtp/239.45.3.145:5140
468.69ms,CCTV1,http://1.58.246.115:4001/rtp/229.58.190.151:5000
478.14ms,CCTV1,http://61.159.134.162:4022/rtp/238.255.2.91:5999
480.56ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.126:8002
484.26ms,CCTV1,http://121.29.141.197:4022/rtp/239.253.92.83:8012
495.80ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.1:8008
500.28ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.200.117:8712
501.25ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.201.45:8800
507.20ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.200.2:8080
510.77ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.200.14:8852
519.45ms,CCTV1,http://27.184.29.216:12312/rtp/239.254.200.45:8008
518.99ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.33:8002
530.02ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.194:4120
533.10ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.53:8060
537.62ms,CCTV1,http://111.113.88.198:2000/rtp/239.121.4.113:8636
538.25ms,CCTV1,http://36.46.98.117:8025/rtp/239.112.205.59:5140
552.34ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.81:8176
557.14ms,CCTV1,http://111.162.204.74:8686/rtp/225.1.1.120:5002
429.09ms,CCTV2,http://114.254.33.252:18888/rtp/239.3.1.60:8084
488.50ms,CCTV1,http://114.107.44.68:8188/rtp/238.1.78.166:7200
437.15ms,CCTV2,http://116.235.57.69:4022/rtp/239.45.3.208:5140
482.00ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.210:8068
479.41ms,CCTV2,http://121.231.65.86:8095/rtp/239.49.8.130:6000
497.79ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.194:4120
509.47ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.81:8176
536.86ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.33:8002
543.33ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.53:8060
492.33ms,CCTV2,http://114.100.195.157:4022/rtp/238.1.78.235:7752
528.58ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.126:8002
492.64ms,CCTV2,http://121.29.141.197:4022/rtp/239.253.92.190:6065
500.73ms,CCTV2,http://1.58.246.115:4000/rtp/229.58.190.153:5000
488.05ms,CCTV2,http://121.231.65.86:8095/rtp/239.49.8.50:9802
502.34ms,CCTV2,http://111.162.204.74:8686/rtp/225.1.1.133:5002
