更新时间,#genre#
20251118-14-58-41,url


blacklist,#genre#
CCTV2,http://116.235.57.41:40
CCTV1,http://123.145.39.218:8001/udp/225.0.4.74:7980
2025-11-18 05:28:23,http://116.235.57.41:4022/rtp/239.45.3.145:5140
CCTV1,http://175.164.133.194:4010/rtp/232.0.0.27:1234
CCTV1,http://171.213.241.154:8188/udp/239.93.0.184:5140
CCTV1,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20251117140029a080df1e2a114e84aadb0379e901d0e9&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20251117140029&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=106.13.250.89&SecurityKey=20251117140029&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d560e12a101b284779a8b2fb366fe3fb&ddCalcu=bdf5e361e08fe061623ab1f021bb82a89477
CCTV1,http://112.66.75.249:8188/rtp/239.253.64.120:5140
CCTV1,http://36.46.98.92:8025/rtp/239.112.205.59:5140
CCTV1,http://118.78.196.96:55555/rtp/226.0.2.153:9136
CCTV1,http://1.195.200.124:8822/rtp/239.16.20.1:10010
