更新时间,#genre#
20251120-10-01-25,url


RespoTime,whitelist,#genre#
459.17ms,CCTV1,http://116.235.57.69:4022/rtp/239.45.3.145:5140
471.04ms,CCTV1,http://223.198.242.211:4000/rtp/239.253.64.120:5140
473.47ms,CCTV1,http://223.167.245.20:8001/rtp/239.45.3.145:5140
472.48ms,CCTV1,http://114.107.46.215:8188/rtp/238.1.78.166:7200
471.09ms,CCTV1,http://121.231.65.86:8095/rtp/239.49.8.129:6000
478.22ms,CCTV1,http://114.254.38.200:18888/rtp/239.3.1.129:8008
475.87ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.126:8002
482.80ms,CCTV1,http://61.159.135.108:18000/rtp/238.255.2.91:5999
478.82ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.210:8068
481.00ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.53:8060
481.54ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.194:4120
483.25ms,CCTV1,http://60.172.82.115:8686/rtp/238.1.78.166:7200
497.30ms,CCTV1,http://106.59.2.235:55555/rtp/239.200.200.14:8852
500.74ms,CCTV1,http://106.59.2.235:55555/rtp/239.200.200.117:8712
504.48ms,CCTV1,http://106.59.2.235:55555/rtp/239.200.200.2:8080
504.47ms,CCTV1,http://106.59.2.235:55555/rtp/239.200.201.45:8800
514.72ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.33:8002
516.73ms,CCTV1,http://111.113.88.198:2000/rtp/239.121.4.113:8636
515.79ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.81:8176
523.06ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.1:8008
526.69ms,CCTV1,http://27.191.202.62:19999/rtp/239.254.200.45:8008
544.84ms,CCTV1,http://180.105.201.177:9981/rtp/239.49.8.19:9614
555.45ms,CCTV1,http://1.58.246.115:4000/rtp/229.58.190.151:5000
561.91ms,CCTV1,http://180.105.201.177:9981/rtp/239.49.8.129:6000
563.17ms,CCTV1,http://171.113.214.167:4022/rtp/239.254.96.96:8550
568.77ms,CCTV1,http://1.58.246.115:4000/rtp/229.58.190.72:5000
489.54ms,CCTV1,http://121.231.65.86:8095/rtp/239.49.8.19:9614
501.91ms,CCTV1,http://106.120.13.134:4022/rtp/225.1.8.1:8008
502.29ms,CCTV1,http://106.120.13.134:4022/rtp/225.1.8.53:8060
482.54ms,CCTV1,http://106.120.13.134:4022/rtp/225.1.8.126:8002
461.85ms,CCTV1,http://114.100.195.224:4022/rtp/238.1.78.166:7200
496.66ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.200.2:8080
476.62ms,CCTV1,http://61.159.135.203:4022/rtp/238.255.2.91:5999
529.46ms,CCTV1,http://1.58.246.115:4001/rtp/229.58.190.151:5000
500.77ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.200.14:8852
500.95ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.201.45:8800
501.24ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.200.117:8712
485.50ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.33:8002
559.08ms,CCTV1,http://1.58.246.115:4001/rtp/229.58.190.72:5000
527.26ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.1:8008
525.52ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.81:8176
524.61ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.126:8002
533.23ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.53:8060
617.95ms,CCTV1,http://111.162.206.238:8686/rtp/225.1.1.120:5002
515.52ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.194:4120
449.85ms,CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8
449.70ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
456.70ms,CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
502.19ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
457.70ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
474.36ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
453.82ms,CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
540.54ms,CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
524.30ms,CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
599.51ms,CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
299.19ms,CCTV1,http://a21709.tv.netsite.cc/proxy/1464748337/1464748337.m3u8
301.45ms,CCTV1,http://a21709.tv.netsite.cc/proxy/1387573383/1387573383.m3u8
