更新时间,#genre#
20251118-14-58-41,url


RespoTime,whitelist,#genre#
460.44ms,CCTV1,http://121.231.65.77:8095/rtp/239.49.8.129:6000
457.37ms,CCTV1,http://183.236.43.98:4013/udp/239.77.1.144:5146
479.51ms,CCTV1,http://114.100.195.26:4022/rtp/238.1.78.166:7200
493.02ms,CCTV1,http://61.159.135.108:18000/rtp/238.255.2.91:5999
493.10ms,CCTV1,http://222.218.122.93:8188/udp/239.81.0.102:4056
508.20ms,CCTV1,http://114.254.38.200:18888/rtp/239.3.1.129:8008
505.37ms,CCTV1,http://144.255.32.94:8288/udp/239.21.1.120:5002
507.83ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.33:8002
525.67ms,CCTV1,http://111.113.88.198:2000/rtp/239.121.4.113:8636
533.17ms,CCTV1,http://27.191.202.62:19999/rtp/239.254.200.45:8008
538.83ms,CCTV1,http://1.58.246.115:4000/rtp/229.58.190.151:5000
540.05ms,CCTV1,http://220.176.218.98:9000/udp/239.252.219.200:5140
546.70ms,CCTV1,http://111.162.206.238:8686/rtp/225.1.1.120:5002
570.80ms,CCTV1,http://171.113.214.167:4022/rtp/239.254.96.96:8550
1237.03ms,CCTV1,http://121.231.65.77:8095/rtp/239.49.8.19:9614
2250.95ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.1:8008
